Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE mod 2 (Add +1 ),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
11,PAID Network,Equalizer Finance,EQZ,"Ethereum, BNB",DeFi,"polygon ecosystem, marketplace, loan, yield farming, governance",$ 846.71K,846710,$ 22.19K,22190,0.19x,0.19,1.19,53.27x,53.27,54.27,$ 100.00K,100000,$ 1.98M,1980000,4/8/2021,4/8/2021,4/8/2021,0,ACTIVE
12,PAID Network,Lovelace World,LACE,BNB,NFT,"marketplace, metaverse, launchpad, play to earn",$ 1.04M,1040000,$ 77.89K,77890,0.22x,0.22,1.22,47.32x,47.32,48.32,$ 150.00K,150000,$ 1.60M,1600000,11/21/2021,11/21/2021,11/22/2021,1,ACTIVE
13,PAID Network,ProjectOasis,OASIS,BNB,GameFi,"bnb chain ecosystem, play to earn, metaverse, nft",$ 310.64K,310640,$162.16 ,162.16,0.39x,0.39,1.39,44.11x,44.11,45.11,$ 150.00K,150000,$ 550.00K,550000,10/12/2021,10/12/2021,11/13/2021,32,ACTIVE
14,PAID Network,Lossless Protocol,LSS,"Ethereum, BNB",Blockchain Infrastructure,"staking, security",$ 13.59M,13590000,$ 199.90K,199900,3.06x,3.06,4.06,34.32x,34.32,35.32,$ 200.00K,200000,$ 2.70M,2700000,6/2/2021,6/2/2021,10/18/2021,138,ACTIVE
15,PAID Network,Sidius Heroes DAO,SENATE,Ethereum,GameFi,"marketplace, nft, play to earn, governance, dao, metaverse",$ 2.31M,2310000,$ 71.47K,71470,0.47x,0.47,1.47,32.54x,32.54,33.54,$ 200.00K,200000,$ 9.87M,9870000,12/14/2021,12/14/2021,12/31/2021,17,ACTIVE
16,PAID Network,Shadows Network,DOWS,Ethereum,DeFi,"staking, governance, polkadot ecosystem",$ 375.07K,375070,$ 17.43K,17430,0.11x,0.11,1.11,31.42x,31.42,32.42,$ 125.00K,125000,$ 1.90M,1900000,3/1/2021,3/1/2021,3/3/2021,2,ACTIVE
17,PAID Network,PathDAO,PATH,Ethereum,GameFi,"gaming guild, dao, metaverse, nft, governance, play to earn, staking",$ 2.82M,2820000,$ 135.84K,135840,1.00x,1.00,2,28.24x,28.24,29.24,$ 250.00K,250000,$ 375.00K,375000,11/30/2021,11/30/2021,12/7/2021,7,ACTIVE
18,PAID Network,Ternoa,CAPS,Ethereum,Blockchain Infrastructure,"nft, marketplace, polkadot ecosystem, dapp",$ 12.36M,12360000,$ 276.51K,276510,1.97x,1.97,2.97,28.21x,28.21,29.21,$ 200.00K,200000,$ 4.28M,4280000,5/27/2021,5/27/2021,6/6/2021,10,ACTIVE
19,PAID Network,Deeper Network,DPR,"Ethereum, BNB",Blockchain Service,"staking, dapp, governance, polkadot ecosystem",$ 27.85M,27850000,$ 326.61K,326610,1.86x,1.86,2.86,27.89x,27.89,28.89,$ 750.00K,750000,$ 12.83M,12830000,4/4/2021,4/4/2021,4/11/2021,7,ACTIVE
20,PAID Network,Kasta,KASTA,Polygon,Blockchain Service,"payments, polygon ecosystem, mobile",$ 2.58M,2580000,$ 743.26K,743260,1.74x,1.74,2.74,27.00x,27.00,28,$ 500.00K,500000,$ 6.50M,6500000,1/3/2022,1/4/2022,1/12/2022,8,ACTIVE
21,PAID Network,StackOS,STACK,"Ethereum, BNB, Polygon",Cloud Computing,"governance, marketplace, staking, nft, polygon ecosystem, bnb chain ecosystem",$ 7.85M,7850000,$ 51.80K,51800,1.32x,1.32,2.32,24.52x,24.52,25.52,$ 210.00K,210000,$ 420.00K,420000,4/22/2021,4/22/2021,11/14/2021,206,ACTIVE
22,PAID Network,Monsta Infinite,MONI,BNB,GameFi,"bnb chain ecosystem, nft, collectibles, play to earn, metaverse, marketplace",$ 2.71M,2710000,$ 884.19K,884190,0.37x,0.37,1.37,24.31x,24.31,25.31,$ 80.00K,80000,$ 405.85K,405850,9/15/2021,9/15/2021,10/8/2021,23,ACTIVE
23,PAID Network,Cornucopias,COPI,"BNB, Ethereum",GameFi,"bnb chain ecosystem, play to earn, nft, marketplace, staking, governance",$ 3.02M,3020000,$ 409.82K,409820,4.33x,4.33,5.33,21.28x,21.28,22.28,$ 300.00K,300000,$ 599.98K,599980,12/8/2021,12/8/2021,12/22/2021,14,ACTIVE
24,PAID Network,Drife,DRF,BNB,Blockchain Service,bnb chain ecosystem,0,0,$ 45.75K,45750,0.10x,0.10,1.1,20.73x,20.73,21.73,$ 150.00K,150000,$ 150.00K,150000,8/5/2021,8/5/2021,8/21/2021,16,ACTIVE
25,PAID Network,Plethori,PLE,Avalanche,DeFi,"cross-chain, amm",$ 122.39K,122390,0,0,0.06x,0.06,1.06,19.45x,19.45,20.45,$ 100.00K,100000,$ 1.10M,1100000,5/2/2021,5/2/2021,5/4/2021,2,INACTIVE
26,PAID Network,Dot.Finance,PINK,BNB,DeFi,"polkadot ecosystem, yield aggregator, yield farming, staking",$ 33.04K,33040,$ 14.70K,14700,0.11x,0.11,1.11,17.45x,17.45,18.45,$ 100.00K,100000,$ 1.42M,1420000,6/17/2021,6/17/2021,8/9/2021,53,ACTIVE
27,PAID Network,Ispolink,ISP,"Ethereum, BNB",Blockchain Service,"dapp, payments, staking, cross-chain, polygon ecosystem, bnb chain ecosystem",$ 2.94M,2940000,$ 311.81K,311810,0.61x,0.61,1.61,15.62x,15.62,16.62,$ 100.00K,100000,$ 2.11M,2110000,5/5/2021,5/5/2021,5/5/2021,0,ACTIVE
28,PAID Network,Metastrike,MTS,BNB,GameFi,"metaverse, nft, play to earn, marketplace, bnb chain ecosystem",$ 433.86K,433860,$ 126.29K,126290,0.19x,0.19,1.19,14.83x,14.83,15.83,$ 142.50K,142500,$ 462.50K,462500,1/11/2022,1/11/2022,1/25/2022,14,ACTIVE
29,PAID Network,BloXmove,BLXM,"BNB, Ethereum",Blockchain Service,"bnb chain ecosystem, logistics",$ 1.33M,1330000,$ 37.56K,37560,0.54x,0.54,1.54,14.26x,14.26,15.26,$ 200.00K,200000,$ 2.30M,2300000,10/21/2021,10/21/2021,10/24/2021,3,ACTIVE
30,PAID Network,IOI Token,IOI,"Ethereum, Polygon, BNB",GameFi,"nft, marketplace, staking, bnb chain ecosystem, polygon ecosystem, play to earn, collectibles, cosmos ecosystem, metaverse, sports",$ 2.15M,2150000,$ 968.37K,968370,0.53x,0.53,1.53,13.81x,13.81,14.81,$ 200.00K,200000,$ 1.80M,1800000,5/9/2021,5/9/2021,11/23/2021,198,ACTIVE
31,PAID Network,Solchicks,CHICKS,Solana,GameFi,"play to earn, solana ecosystem, nft, collectibles, metaverse",$ 1.60M,1600000,$ 76.97K,76970,0.05x,0.05,1.05,13.19x,13.19,14.19,$ 300.00K,300000,$ 3.70M,3700000,12/2/2021,12/2/2021,12/12/2021,10,ACTIVE
32,PAID Network,Affyn,FYN,Polygon,GameFi,"play to earn, metaverse, nft, polygon ecosystem, collectibles",$ 8.27M,8270000,$ 171.62K,171620,0.42x,0.42,1.42,13.17x,13.17,14.17,$ 400.00K,400000,$ 18.83M,18830000,1/27/2022,1/27/2022,1/31/2022,4,ACTIVE
33,PAID Network,Pandora Protocol,PNDR,BNB,NFT,"bnb chain ecosystem, nft, synthetic assets",0,0,$138.39 ,138.39,0.04x,0.04,1.04,12.52x,12.52,13.52,$ 150.00K,150000,$ 150.00K,150000,8/29/2021,8/29/2021,9/1/2021,3,ACTIVE
34,PAID Network,Privi Trax,TRAX,BNB,DeFi,marketplace,$ 3.46K,3460,0,0,0.20x,0.20,1.2,11.73x,11.73,12.73,$ 150.00K,150000,$ 485.00K,485000,8/9/2021,8/9/2021,8/10/2021,1,INACTIVE
35,PAID Network,Relite.finance,RELI,Ethereum,NFT,"nft, collectibles, dao, marketplace, metaverse, staking",$ 126.01K,126010,0,0,0.04x,0.04,1.04,10.64x,10.64,11.64,$ 500.00K,500000,$ 1.50M,1500000,5/16/2021,5/16/2021,5/17/2021,1,INACTIVE
36,PAID Network,Tangible,TNGBL,Ethereum,NFT,"marketplace, nft",0,0,0,0,6.03x,6.03,7.03,10.63x,10.63,11.63,$ 400.00K,400000,$ 1.00M,1000000,4/27/2022,4/24/2022,5/11/2022,17,INACTIVE
37,PAID Network,Collateral,COLL,Polygon,NFT,marketplace,$ 152.80K,152800,$623.00 ,623,0.06x,0.06,1.06,9.84x,9.84,10.84,$ 100.00K,100000,$ 250.00K,250000,4/15/2021,4/15/2021,4/15/2021,0,INACTIVE
38,PAID Network,ArGo,ARGO,Ethereum,DeFi,"polkadot ecosystem, governance, staking, loan",$ 197.13K,197130,0,0,0.09x,0.09,1.09,8.78x,8.78,9.78,$ 250.00K,250000,$ 1.55M,1550000,5/11/2021,5/11/2021,5/11/2021,0,ACTIVE
39,PAID Network,Citadel.one,XCT,Ethereum,Blockchain Service,"governance, cross-chain, staking",$ 1.56M,1560000,$ 119.84K,119840,0.40x,0.40,1.4,8.75x,8.75,9.75,$ 400.00K,400000,$ 3.28M,3280000,8/18/2021,8/19/2021,9/16/2021,28,ACTIVE
40,PAID Network,Alphr.Finance,ALPHR,BNB,Blockchain Service,"bnb chain ecosystem, staking, dao, lending/borrowing, loan, governance",$ 35.68K,35680,$ 19.82K,19820,0.01x,0.01,1.01,8.70x,8.70,9.7,$ 100.00K,100000,$ 2.10M,2100000,4/25/2021,4/25/2021,5/11/2021,16,ACTIVE
41,PAID Network,PureFi,UFI,"BNB, Ethereum",Blockchain Service,"yield farming, cross-chain, oracle, security",$ 359.14K,359140,$ 37.73K,37730,0.21x,0.21,1.21,8.27x,8.27,9.27,$ 200.15K,200150,$ 1.07M,1070000,7/26/2021,7/26/2021,7/26/2021,0,ACTIVE
42,PAID Network,Totem,CTZN,"BNB, Ethereum",Blockchain Service,"bnb chain ecosystem, metaverse, nft, staking",$ 102.06K,102060,$ 4.19K,4190,0.10x,0.10,1.1,8.11x,8.11,9.11,$ 237.50K,237500,$ 762.50K,762500,12/16/2021,12/16/2021,12/16/2021,0,ACTIVE
43,PAID Network,Creator Platform,CTR,"Ethereum, BNB",Blockchain Service,"dapp, governance, nft, smart contract platform, cross-chain, launchpad",$ 3.62K,3620,$ 15.70K,15700,0.03x,0.03,1.03,7.92x,7.92,8.92,$ 300.00K,300000,$ 400.00K,400000,9/7/2021,9/7/2021,11/4/2021,58,ACTIVE
44,PAID Network,Bright Union,BRIGHT,Ethereum,DeFi,"insurance, yield farming, governance, staking, bnb chain ecosystem, polkadot ecosystem, solana ecosystem, xdai ecosystem",$ 610.27K,610270,$ 59.29K,59290,0.28x,0.28,1.28,7.26x,7.26,8.26,$ 150.00K,150000,$ 923.75K,923750,8/4/2021,8/4/2021,8/10/2021,6,ACTIVE
45,PAID Network,Smoothy,SMTY,"Ethereum, BNB",DeFi,amm,$ 1.19M,1190000,$ 202.25K,202250,0.03x,0.03,1.03,7.21x,7.21,8.21,$ 150.00K,150000,$ 3.42M,3420000,4/26/2021,4/26/2021,4/26/2021,0,ACTIVE
46,PAID Network,OMNI - People Driven,OAI,BNB,Blockchain Service,ai,0,0,0,0,2.63x,2.63,3.63,6.88x,6.88,7.88,$ 200.00K,200000,$ 200.00K,200000,7/15/2021,7/15/2021,8/24/2021,40,INACTIVE
47,PAID Network,Animal Concerts,ANML,"Ethereum, BNB, Polygon",Social,"social media, music, collectibles, bnb chain ecosystem",$ 197.29K,197290,$ 1.19M,1190000,0.19x,0.19,1.19,6.86x,6.86,7.86,$ 950.00K,950000,$ 6.55M,6550000,3/24/2022,3/24/2022,4/4/2022,11,ACTIVE
48,PAID Network,Octopus Protocol,OPS,BNB,DeFi,"governance, staking, amm, loan, exchange token, dex",$ 46.99K,46990,$ 22.31K,22310,0.01x,0.01,1.01,6.83x,6.83,7.83,$ 150.00K,150000,$ 3.38M,3380000,6/10/2021,6/10/2021,6/15/2021,5,ACTIVE
49,PAID Network,BlockBank,BBANK,"Ethereum, BNB",DeFi,"dapp, staking, insurance, bnb chain ecosystem, cross-chain",$ 2.96M,2960000,$ 33.19K,33190,0.09x,0.09,1.09,6.82x,6.82,7.82,$ 1.00M,1000000,$ 11.59M,11590000,4/27/2021,4/27/2021,4/27/2021,0,ACTIVE
50,PAID Network,SugarBounce,TIP,"Polygon, BNB",Social,"social network, bnb chain ecosystem, polygon ecosystem",$ 139.54K,139540,$ 18.93K,18930,0.05x,0.05,1.05,6.25x,6.25,7.25,$ 150.00K,150000,$ 498.00K,498000,11/18/2021,11/18/2021,11/24/2021,6,ACTIVE
51,PAID Network,Alphadex,ROAR,Moonriver,DeFi,"yield farming, dex, dapp, launchpad, amm, cross-chain, nft, staking",0,0,$ 77.75K,77750,0.08x,0.08,1.08,5.97x,5.97,6.97,$ 500.00K,500000,$ 625.00K,625000,1/20/2022,1/20/2022,1/26/2022,6,ACTIVE
52,PAID Network,Mozik,MOZ,BNB,NFT,"nft, marketplace, music",$ 9.24K,9240,0,0,0.02x,0.02,1.02,5.82x,5.82,6.82,$ 180.00K,180000,$ 2.91M,2910000,6/6/2021,6/6/2021,6/6/2021,0,INACTIVE
53,PAID Network,Pocket Arena,POC,"BNB, Ethereum",GameFi,"bnb chain ecosytem, play to earn, nft, marketplace",$ 817.49K,817490,$ 1.61K,1610,0.71x,0.71,1.71,5.73x,5.73,6.73,$ 75.00K,75000,$ 75.00K,75000,11/9/2021,11/10/2021,1/13/2022,64,ACTIVE
54,PAID Network,Plutos Network ,PLUT,BNB,DeFi,"cross-chain, amm, staking, bnb chain ecosystem, solana ecosystem, polkadot ecosystem, marketplace, governance",$ 64.71K,64710,$654.38 ,654.38,0.01x,0.01,1.01,5.43x,5.43,6.43,$ 175.00K,175000,$ 3.63M,3630000,6/21/2021,6/21/2021,9/29/2021,100,ACTIVE
55,PAID Network,Cryption Network,CNT,"Ethereum, Polygon",DeFi,"dapp, wallet",$ 82.34K,82340,0,0,0.07x,0.07,1.07,5.42x,5.42,6.42,$ 175.00K,175000,$ 1.37M,1370000,6/7/2021,6/7/2021,7/27/2021,50,ACTIVE
56,PAID Network,Rainmaker Games,RAIN,Ethereum,GameFi,"gaming guild, play to earn, nft, marketplace, cross-chain",$ 3.24M,3240000,$ 1.10M,1100000,0.28x,0.28,1.28,5.38x,5.38,6.38,$ 250.00K,250000,$ 7.54M,7540000,12/15/2021,12/15/2021,1/2/2022,18,ACTIVE
57,PAID Network,Ojamu,OJA,"Ethereum, Polygon",Blockchain Service,"polygon ecosystem, cross-chain, data service, advertising",$ 568.60K,568600,$ 8.58K,8580,0.06x,0.06,1.06,5.11x,5.11,6.11,$ 250.60K,250600,$ 2.01M,2010000,10/6/2021,10/6/2021,1/6/2022,92,ACTIVE
58,PAID Network,Ally,DRCT,Ethereum,Blockchain Service,"staking, governance, marketplace, logistics",$ 988.37K,988370,$ 2.26K,2260,0.33x,0.33,1.33,5.08x,5.08,6.08,$ 200.00K,200000,$ 3.00M,3000000,6/30/2021,6/30/2021,10/12/2021,104,ACTIVE
59,PAID Network,Chimeras,CHIM,BNB,GameFi,"bnb chain ecosystem, metaverse, play to earn, yield farming, nft",0,0,$495.47 ,495.47,0.03x,0.03,1.03,4.99x,4.99,5.99,$ 150.00K,150000,$ 2.37M,2370000,10/27/2021,10/27/2021,10/27/2021,0,ACTIVE
60,PAID Network,TribeOne,HAKA,"Ethereum, BNB",DeFi,"nft, lending.borrowing, cross-chain, staking, governance, loan",$ 469.49K,469490,$ 242.74K,242740,0.14x,0.14,1.14,4.92x,4.92,5.92,$ 150.00K,150000,$ 1.96M,1960000,6/22/2021,6/22/2021,11/14/2021,145,ACTIVE
61,PAID Network,Decubate,DCB,BNB,DeFi,"staking, governance, launchpad, cross-chain, nft",$ 446.83K,446830,$249.68 ,249.68,0.24x,0.24,1.24,4.87x,4.87,5.87,$ 150.00K,150000,$ 664.00K,664000,7/5/2021,7/5/2021,10/5/2021,92,ACTIVE
62,PAID Network,HoDooi,HOD,"BNB, Ethereum",NFT,"nft, cross-chain, marketplace, art, bnb chain ecosystem, collectibles",$ 2.36M,2360000,$ 156.38K,156380,0.26x,0.26,1.26,4.66x,4.66,5.66,$ 250.00K,250000,$ 4.81M,4810000,6/13/2021,6/13/2021,12/6/2021,176,ACTIVE
63,PAID Network,Space Misfits,SMCW,"Ethereum, BNB",GameFi,"governance, nft, play to earn, collectibles, bnb chain ecosystem, marketplace",$ 131.78K,131780,$ 59.39K,59390,0.24x,0.24,1.24,4.54x,4.54,5.54,$ 200.00K,200000,$ 1.01M,1010000,1/16/2022,1/17/2022,3/23/2022,65,ACTIVE
64,PAID Network,Bridge Network,BRDG,BNB,Blockchain Infrastructure,"dapp, nft, cross-chain, bnb chain ecosystem, yield farming",$ 3.82M,3820000,$ 1.93M,1930000,0.36x,0.36,1.36,4.43x,4.43,5.43,$ 300.00K,300000,$ 4.10M,4100000,4/19/2022,4/19/2022,4/19/2022,0,ACTIVE
65,PAID Network,Vegaswap,VGA,BNB,DeFi,"amm, cross-chain",$ 7.87K,7870,0,0,0.01x,0.01,1.01,4.42x,4.42,5.42,$ 200.00K,200000,$ 200.00K,200000,9/12/2021,9/12/2021,12/4/2021,83,INACTIVE
66,PAID Network,Legion Network,LGX,BNB,Blockchain Service,"marketplace, nft, play to earn, bnb chain ecosystem, dapp, metaverse",$ 83.66K,83660,$ 1.37M,1370000,0.19x,0.19,1.19,3.93x,3.93,4.93,$ 300.00K,300000,$ 4.80M,4800000,4/18/2022,4/18/2022,4/19/2022,1,ACTIVE
67,PAID Network,MetaWear,WEAR,BNB,NFT,"nft, metaverse, bnb chain ecosystem",$ 117.92K,117920,$ 125.42K,125420,0.27x,0.27,1.27,3.79x,3.79,4.79,$ 100.00K,100000,$ 2.79M,2790000,3/20/2022,3/20/2022,3/31/2022,11,ACTIVE
68,PAID Network,NFTify,N1,"Ethereum, BNB, Polygon",Blockchain Service,"nft, cross-chain, marketplace",$ 243.26K,243260,$ 2.36K,2360,0.15x,0.15,1.15,3.11x,3.11,4.11,$ 140.00K,140000,$ 2.34M,2340000,6/3/2021,6/3/2021,6/3/2021,0,ACTIVE
69,PAID Network,Hypersign,HID,"Ethereum, Polkadot",Blockchain Infrastructure,"cross-chain, staking, security, verification",$ 53.19K,53190,$ 13.37K,13370,0.09x,0.09,1.09,3.04x,3.04,4.04,$ 200.00K,200000,$ 1.68M,1680000,6/8/2021,6/8/2021,10/9/2021,123,ACTIVE
70,PAID Network,2crazyNFT,2CRZ,"Ethereum, BNB",NFT,"bnb chain ecosystem, cross-chain, nft",0,0,$ 99.07K,99070,0.06x,0.06,1.06,2.80x,2.80,3.8,$ 225.00K,225000,$ 550.00K,550000,6/24/2021,6/24/2021,8/7/2021,44,ACTIVE
71,PAID Network,MetaShooter,MHUNT,"Polygon, BNB",GameFi,"nft, polygon ecosystem, metaverse, sports, play to earn",$ 214.42K,214420,$ 695.03K,695030,0.31x,0.31,1.31,2.57x,2.57,3.57,$ 200.00K,200000,$ 1.23M,1230000,4/17/2022,4/17/2022,4/20/2022,3,ACTIVE
72,PAID Network,Globe Derivative Exchange,GDT,Ethereum,CeFi,"nft, cex, exchange token",$ 3.81M,3810000,$ 146.31K,146310,0.14x,0.14,1.14,2.31x,2.31,3.31,$ 2.00M,2000000,$ 21.25M,21250000,5/11/2021,5/11/2021,5/11/2021,0,ACTIVE
73,PAID Network,Xfai,XFIT,Ethereum,Blockchain Service,"oracle, governance",$ 6.91M,6910000,$ 5.14K,5140,0.25x,0.25,1.25,1.94x,1.94,2.94,$ 100.00K,100000,$ 4.00M,4000000,4/28/2021,4/28/2021,4/30/2021,2,ACTIVE
74,PAID Network,Zone of Avoidance,ZOA,BNB,GameFi,"nft, play to earn, bnb chain ecosystem",$ 198.47K,198470,$ 162.97K,162970,0.37x,0.37,1.37,1.69x,1.69,2.69,$ 400.00K,400000,$ 2.38M,2380000,4/28/2022,4/28/2022,5/4/2022,6,ACTIVE
75,PAID Network,Liquidifty,LQT,BNB,NFT,"bnb chain ecosystem, nft, marketplace",$ 1.09M,1090000,$ 1.83K,1830,0.03x,0.03,1.03,1.58x,1.58,2.58,$ 200.00K,200000,$ 600.00K,600000,6/14/2021,6/14/2021,8/24/2021,71,ACTIVE
76,PAID Network,Earn Guild,EARN,BNB,GameFi,"gaming guild, play to earn, nft, marketplace, metaverse, bnb chain ecosystem",$ 77.72K,77720,$ 90.37K,90370,0.06x,0.06,1.06,1.56x,1.56,2.56,$ 1.43M,1430000,$ 9.07M,9070000,2/21/2022,2/21/2022,2/21/2022,0,ACTIVE
77,PAID Network,Karmaverse,KNOT,Polygon,GameFi,"metaverse, polygon ecosystem, nft",$ 769.62K,769620,$ 85.32K,85320,0.27x,0.27,1.27,1.48x,1.48,2.48,$ 200.00K,200000,$ 907.50K,907500,3/23/2022,3/23/2022,4/3/2022,11,ACTIVE
78,PAID Network,Remnant Labs,REMN,Polygon,GameFi,play to earn,$ 142.83K,142830,0,0,0.35x,0.35,1.35,1.11x,1.11,2.11,$ 105.00K,105000,$ 786.50K,786500,6/1/2022,6/1/2022,6/1/2022,0,INACTIVE
79,PAID Network,Mundo,$MUNDO,BNB,GameFi,"bnb chain ecosystem, nft, play to earn, marketplace, collectibles",$ 44.66K,44660,$333.63 ,333.63,0.09x,0.09,1.09,1.01x,1.01,2.01,$ 550.00K,550000,$ 3.36M,3360000,3/16/2022,3/17/2022,3/27/2022,10,ACTIVE
80,PAID Network,Represent,RPT,BNB,DeFi,"governance, dao",$ 8.43K,8430,0,0,0.03x,0.03,1.03,0.93x,0.93,1.93,$ 500.00K,500000,$ 1.33M,1330000,9/16/2021,9/16/2021,10/2/2021,16,ACTIVE
81,PAID Network,Demodyfi,DMOD,"Ethereum, BNB",DeFi,"polkadot ecosystem, staking, bnb chain ecosystem, cross-chain, amm, exchange token",$ 57.45K,57450,0,0,0.03x,0.03,1.03,0.89x,0.89,1.89,$ 300.00K,300000,$ 600.00K,600000,6/9/2021,6/9/2021,8/14/2021,66,ACTIVE
82,PAID Network,CDzExchange,CDZ,BNB,DeFi,"dex, staking, yield farming, cross-chain, bnb chain ecosystem, polkadot ecosystem, solana ecosystem, governance, exchange token",$486.32 ,486.32,0,0,0.01x,0.01,1.01,0.64x,0.64,1.64,$ 150.00K,150000,$ 900.00K,900000,8/12/2021,8/12/2021,9/24/2021,43,ACTIVE
83,PAID Network,EmiSwap,ESW,Ethereum,DeFi,"amm, nft",$ 29.23K,29230,0,0,0.01x,0.01,1.01,0.60x,0.60,1.6,$ 300.00K,300000,$ 3.03M,3030000,6/29/2021,6/30/2021,8/22/2021,53,INACTIVE
84,PAID Network,Trickle,H2O,BNB,Blockchain Service,"open source, smart contract",$ 10.26K,10260,0,0,0,0,1,0,0,1,$ 250.00K,250000,$ 1.07M,1070000,10/14/2021,10/15/2021,11/24/2021,40,INACTIVE
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
